,Taxonomy,Collection_Date,Cumulative_Count_x,Count_x,Cumulative_Count_y,Count_y
31546,unidentified Avipoxvirus,2012.0,3.0,3.0,3,3
31547,Adenoviridae,2012.0,29618.0,4459.0,8196,1046
31548,Rabbit hemorrhagic disease virus,2012.0,683.0,86.0,604,79
31549,Rhabdoviridae sp.,2012.0,18.0,10.0,14,10
31550,Adeno-associated virus,2012.0,443.0,7.0,85,1
31551,Adana phlebovirus,2012.0,8.0,8.0,6,6
31552,Small ruminant morbillivirus,2012.0,945.0,207.0,801,191
31553,Acute bee paralysis virus,2012.0,41.0,4.0,52,4
31554,Bat astrovirus Mf/WOM990,2012.0,1.0,1.0,1,1
31555,Solanum violaefolium ringspot virus,2012.0,1.0,1.0,1,1
31556,Bat astrovirus Mf/XMM137,2012.0,1.0,1.0,1,1
31557,Solemoviridae,2012.0,2762.0,442.0,1226,202
31558,unidentified Reptarenavirus,2012.0,334.0,20.0,167,10
31559,Rabies lyssavirus,2012.0,19227.0,1529.0,12796,980
31560,Rhabdoviridae,2012.0,28042.0,2308.0,17201,1442
31561,Sorghum mosaic virus,2012.0,225.0,109.0,230,109
31562,Soricidae paramyxovirus,2012.0,1.0,1.0,1,1
31563,Sosuga pararubulavirus,2012.0,14.0,14.0,2,2
31564,Soudat virus,2012.0,4.0,4.0,4,4
31565,Soil-borne wheat mosaic virus,2012.0,25.0,17.0,21,13
31566,Rabbit calicivirus Australia 1,2012.0,78.0,4.0,39,2
31567,Rhabdovirus JC-2016,2012.0,1.0,1.0,1,1
31568,Quang Binh virus,2012.0,116.0,16.0,110,21
31569,Siphoviridae sp. ctrG012,2012.0,41.0,41.0,1,1
31570,Siphoviridae sp. ctrMZ4,2012.0,33.0,33.0,1,1
31571,Siphoviridae sp. ctrfD19,2012.0,86.0,86.0,1,1
31572,Siphoviridae sp. ctrgQ8,2012.0,36.0,36.0,1,1
31573,Siphoviridae sp. ctrok7,2012.0,60.0,60.0,1,1
31574,Siphoviridae sp. ctsIQ24,2012.0,33.0,33.0,1,1
31575,Siphoviridae sp. ctsoB6,2012.0,90.0,90.0,1,1
31576,Siphoviridae sp. cttFh17,2012.0,297.0,297.0,1,1
31577,Siphoviridae sp. ctuka10,2012.0,21.0,21.0,1,1
31578,Siphoviridae sp. ctur44,2012.0,16.0,16.0,1,1
31579,Siphoviridae sp. ctuvC1,2012.0,68.0,68.0,1,1
31580,Siphoviridae sp. ctvbt38,2012.0,57.0,57.0,1,1
31581,Siphoviridae sp. ctvxh7,2012.0,55.0,55.0,1,1
31582,Siphoviridae sp. ctxZP4,2012.0,51.0,51.0,1,1
31583,Siphoviridae sp. ctz7e2,2012.0,43.0,43.0,1,1
31584,Siphoviridae sp. ctzto35,2012.0,13.0,13.0,1,1
31585,Bat associated cyclovirus 12,2012.0,4.0,4.0,2,2
31586,Bat associated cyclovirus 6,2012.0,2.0,2.0,2,2
31587,Qingnian Mosquito Virus,2012.0,2.0,2.0,2,2
31588,Bat associated cyclovirus 8,2012.0,2.0,2.0,2,2
31589,Bat associated cyclovirus 9,2012.0,2.0,2.0,2,2
31590,Skunavirus,2012.0,4832.0,56.0,88,1
31591,Slopekvirus,2012.0,796.0,280.0,3,1
31592,Smacoviridae,2012.0,309.0,81.0,138,50
31593,Bat astrovirus,2012.0,13.0,11.0,57,11
31594,Southern rice black-streaked dwarf virus,2012.0,306.0,8.0,281,8
31595,Siphoviridae sp. ctqBH20,2012.0,81.0,81.0,1,1
31596,Southern tomato virus,2012.0,11.0,6.0,6,3
31597,Bat astrovirus SK/HK68/HK14/HK15/CHN/2007,2012.0,1.0,1.0,1,1
31598,Mangifera indica latent virus,2012.0,4.0,4.0,2,2
31599,Mandrillus sphinx adenovirus,2012.0,1.0,1.0,1,1
31600,Bat astrovirus Tm/Guangxi/LD43/2007,2012.0,4.0,3.0,4,3
31601,Soybean vein necrosis orthotospovirus,2012.0,0.0,0.0,53,2
31602,Mammarenavirus,2012.0,1977.0,470.0,1378,303
31603,Bat astrovirus Tm/Guangxi/LD46/2007,2012.0,10.0,9.0,10,9
31604,Bat astrovirus Tm/Guangxi/LD89/2007,2012.0,4.0,3.0,4,3
31605,Whiflysatellite,2012.0,2.0,2.0,2,2
31606,Bat calicivirus,2012.0,7.0,5.0,4,3
31607,Mammalian orthorubulavirus 5,2012.0,116.0,1.0,16,1
31608,Bat chuvirus,2012.0,1.0,1.0,1,1
31609,Soybean mosaic virus,2012.0,327.0,93.0,286,93
31610,Bat circovirus,2012.0,8.0,5.0,8,5
31611,Bat circovirus POA/2012/I,2012.0,2.0,2.0,1,1
31612,Bat circovirus POA/2012/V,2012.0,2.0,2.0,1,1
31613,Soybean yellow common mosaic virus,2012.0,41.0,16.0,20,16
31614,Mammalian 1 orthobornavirus,2012.0,89.0,6.0,27,4
31615,Bat circovirus POA/2012/VII,2012.0,2.0,2.0,2,2
31616,Bat circovirus POA/I,2012.0,13.0,13.0,13,13
31617,Bat circovirus POA/II,2012.0,4.0,4.0,4,4
31618,Bat circovirus POA/V,2012.0,1.0,1.0,2,2
31619,Bat coronavirus,2012.0,331.0,204.0,302,175
31620,Mamestra configurata nucleopolyhedrovirus B,2012.0,161.0,161.0,1,1
31621,Mamestra configurata nucleopolyhedrovirus A,2012.0,515.0,169.0,3,1
31622,Mammalian orthoreovirus,2012.0,434.0,50.0,433,51
31623,Ramu stunt virus,2012.0,20.0,4.0,20,4
31624,Bat astrovirus Tm/Guangxi/LD39/2007,2012.0,19.0,18.0,19,18
31625,Mapvirus,2012.0,288.0,146.0,4,2
31626,Rabovirus A,2012.0,6.0,3.0,6,3
31627,Soybean chlorotic spot virus,2012.0,27.0,15.0,7,3
31628,Soybean cyst nematode virus 5,2012.0,2.0,2.0,2,2
31629,Actinidia virus B,2012.0,12.0,2.0,4,2
31630,Soybean dwarf virus,2012.0,0.0,0.0,46,1
31631,Marigold leaf curl virus,2012.0,0.0,0.0,1,1
31632,Marigold leaf curl betasatellite,2012.0,0.0,0.0,1,1
31633,Marigold leaf curl alphasatellite,2012.0,0.0,0.0,1,1
31634,Mariental mammarenavirus,2012.0,9.0,9.0,5,5
31635,Radish leaf curl virus,2012.0,22.0,5.0,5,2
31636,Mardivirus,2012.0,2936.0,405.0,324,68
31637,Actinidia virus A,2012.0,12.0,2.0,4,2
31638,Bat astrovirus Tm/Guangxi/DX09/2007,2012.0,3.0,2.0,3,2
31639,Soybean mild mottle virus,2012.0,13.0,1.0,3,1
31640,Bat astrovirus Tm/Guangxi/DX19/2007,2012.0,3.0,1.0,3,1
31641,Marburgvirus,2012.0,618.0,57.0,180,45
31642,unidentified adenovirus,2012.0,382.0,25.0,321,25
31643,Bat astrovirus Tm/Guangxi/LD103/2007,2012.0,6.0,5.0,6,5
31644,Marburg marburgvirus,2012.0,618.0,57.0,180,45
31645,Ackermannviridae sp. ctClB2,2012.0,40.0,40.0,1,1
31646,Bat astrovirus Tm/Guangxi/LD145/2007,2012.0,10.0,8.0,10,8
31647,Marbled eel reovirus,2012.0,12.0,12.0,11,11
31648,Marbled eel polyomavirus,2012.0,44.0,44.0,5,5
31649,Marafivirus,2012.0,230.0,6.0,210,6
31650,Bat astrovirus Tm/Guangxi/LD157/2007,2012.0,3.0,2.0,3,2
31651,Rabovirus,2012.0,6.0,3.0,6,3
31652,Siphoviridae sp. ctoOf8,2012.0,73.0,73.0,1,1
31653,Siphoviridae sp. ctoD91,2012.0,29.0,29.0,1,1
31654,Siphoviridae sp. ctnsL8,2012.0,79.0,79.0,1,1
31655,Siphoviridae sp. ct1TR2,2012.0,72.0,72.0,1,1
31656,Puumala orthohantavirus,2012.0,1314.0,336.0,1259,323
31657,Siphoviridae sp. ct3Mm15,2012.0,44.0,44.0,1,1
31658,Siphoviridae sp. ct3R83,2012.0,31.0,31.0,1,1
31659,Siphoviridae sp. ct3yx7,2012.0,25.0,25.0,1,1
31660,Siphoviridae sp. ct45W1,2012.0,49.0,49.0,1,1
31661,Siphoviridae sp. ct4T77,2012.0,61.0,61.0,1,1
31662,Siphoviridae sp. ct57T16,2012.0,16.0,16.0,1,1
31663,Siphoviridae sp. ct5kv15,2012.0,25.0,25.0,1,1
31664,Siphoviridae sp. ct5tj9,2012.0,76.0,76.0,1,1
31665,Siphoviridae sp. ct7bj10,2012.0,18.0,18.0,1,1
31666,Siphoviridae sp. ct0hG5,2012.0,54.0,54.0,1,1
31667,Siphoviridae sp. ct8Ri8,2012.0,36.0,36.0,1,1
31668,Siphoviridae sp. ct9Y44,2012.0,41.0,41.0,1,1
31669,Siphoviridae sp. ctCCv12,2012.0,27.0,27.0,1,1
31670,Siphoviridae sp. ctDcW16,2012.0,69.0,69.0,1,1
31671,Siphoviridae sp. ctDwe1,2012.0,74.0,74.0,1,1
31672,Siphoviridae sp. ctEYW18,2012.0,21.0,21.0,1,1
31673,Siphoviridae sp. ctEpf2,2012.0,27.0,27.0,1,1
31674,Siphoviridae sp. ctF6o6,2012.0,42.0,42.0,1,1
31675,Siphoviridae sp. ctFxb24,2012.0,26.0,26.0,1,1
31676,Siphoviridae sp. ctGyV19,2012.0,77.0,77.0,1,1
31677,Siphoviridae sp. ctH1110,2012.0,38.0,38.0,1,1
31678,Siphoviridae sp. ctH8e11,2012.0,25.0,25.0,1,1
31679,Siphoviridae sp. ct9JD14,2012.0,33.0,33.0,1,1
31680,Siphoviridae sp. (gcode 4),2012.0,45.0,45.0,1,1
31681,Siphoviridae sp.,2012.0,270381.0,152053.0,5629,3108
31682,Siphoviridae,2012.0,472752.0,190964.0,8860,3576
31683,Bat SARS-like coronavirus Rs4087-2,2012.0,1.0,1.0,1,1
31684,Bat SARS-like coronavirus Rs4090,2012.0,1.0,1.0,1,1
31685,Bat SARS-like coronavirus Rs4092,2012.0,1.0,1.0,1,1
31686,Bat SARS-like coronavirus Rs4096,2012.0,1.0,1.0,1,1
31687,Bat SARS-like coronavirus Rs4097,2012.0,1.0,1.0,1,1
31688,Bat SARS-like coronavirus Rs4105,2012.0,1.0,1.0,1,1
31689,Bat SARS-like coronavirus Rs4108,2012.0,1.0,1.0,1,1
31690,Bat SARS-like coronavirus Rs4110,2012.0,1.0,1.0,1,1
31691,Simplexvirus,2012.0,10776.0,364.0,2728,237
31692,Adenovirus PREDICT_AdV-32,2012.0,1.0,1.0,1,1
31693,Adenovirus PREDICT_AdV-31,2012.0,2.0,2.0,2,2
31694,Sinaivirus,2012.0,99.0,64.0,45,31
31695,White spot syndrome virus,2012.0,5799.0,1608.0,391,83
31696,White clover potyvirus,2012.0,1.0,1.0,1,1
31697,White clover cryptic virus 1,2012.0,3.0,3.0,4,4
31698,Sindbis virus,2012.0,217.0,2.0,159,1
31699,Singapore grouper iridovirus,2012.0,13.0,2.0,13,2
31700,Sinhaliviridae,2012.0,99.0,64.0,45,31
31701,Siniperca chuatsi rhabdovirus,2012.0,5.0,5.0,1,1
31702,Sinsheimervirus,2012.0,22.0,11.0,2,1
31703,Siphonapteran jingmen-related virus,2012.0,2.0,2.0,2,2
31704,Whispovirus,2012.0,5855.0,1608.0,394,83
31705,Bat associated circovirus 8,2012.0,2.0,2.0,2,2
31706,Bat associated cyclovirus 10,2012.0,7.0,7.0,5,5
31707,Bat associated cyclovirus 11,2012.0,2.0,2.0,2,2
31708,Siphoviridae sp. ctHMI2,2012.0,65.0,65.0,1,1
31709,Siphoviridae sp. ctHhH6,2012.0,69.0,69.0,1,1
31710,Siphoviridae sp. ctHl62,2012.0,69.0,69.0,1,1
31711,Siphoviridae sp. ctIss5,2012.0,32.0,32.0,1,1
31712,Siphoviridae sp. ctXQq5,2012.0,74.0,74.0,1,1
31713,Siphoviridae sp. ctXU818,2012.0,17.0,17.0,1,1
31714,Siphoviridae sp. ctXbO14,2012.0,49.0,49.0,1,1
31715,Siphoviridae sp. ctYBm1,2012.0,84.0,84.0,1,1
31716,Siphoviridae sp. ctYgF8,2012.0,58.0,58.0,1,1
31717,Siphoviridae sp. ctZ0X1,2012.0,39.0,39.0,1,1
31718,Siphoviridae sp. ctZZK17,2012.0,43.0,43.0,1,1
31719,Siphoviridae sp. ctbBv3,2012.0,56.0,56.0,1,1
31720,Siphoviridae sp. ctcfw7,2012.0,65.0,65.0,1,1
31721,Siphoviridae sp. ctdmY20,2012.0,72.0,72.0,1,1
31722,Siphoviridae sp. ctf8W5,2012.0,86.0,86.0,1,1
31723,Pyrobaculum genetic element 1,2012.0,30.0,30.0,1,1
31724,Siphoviridae sp. cthIt11,2012.0,18.0,18.0,1,1
31725,Siphoviridae sp. cthL03,2012.0,44.0,44.0,1,1
31726,Siphoviridae sp. ctiJI15,2012.0,40.0,40.0,1,1
31727,Siphoviridae sp. ctigT3,2012.0,60.0,60.0,1,1
31728,Siphoviridae sp. ctitf6,2012.0,29.0,29.0,1,1
31729,Siphoviridae sp. ctixZ6,2012.0,45.0,45.0,1,1
31730,Siphoviridae sp. ctjBn3,2012.0,23.0,23.0,1,1
31731,Pyrrhula pyrrhula polyomavirus 1,2012.0,21.0,6.0,6,1
31732,Siphoviridae sp. ctjxN1,2012.0,17.0,17.0,1,1
31733,Siphoviridae sp. ctk4d14,2012.0,83.0,83.0,1,1
31734,Siphoviridae sp. ctkcl3,2012.0,22.0,22.0,1,1
31735,Siphoviridae sp. ctkfY9,2012.0,41.0,41.0,1,1
31736,Siphoviridae sp. ctmpG14,2012.0,175.0,175.0,1,1
31737,Siphoviridae sp. ctXQ014,2012.0,63.0,63.0,1,1
31738,Bat SARS-like coronavirus Rs4085,2012.0,1.0,1.0,1,1
31739,Siphoviridae sp. ctXOZ1,2012.0,78.0,78.0,1,1
31740,Siphoviridae sp. ctX581,2012.0,98.0,98.0,1,1
31741,Siphoviridae sp. ctLR131,2012.0,34.0,34.0,1,1
31742,Siphoviridae sp. ctLgc23,2012.0,33.0,33.0,1,1
31743,Siphoviridae sp. ctM3g2,2012.0,53.0,53.0,1,1
31744,Siphoviridae sp. ctMeu2,2012.0,54.0,54.0,1,1
31745,Siphoviridae sp. ctMgg26,2012.0,36.0,36.0,1,1
31746,Siphoviridae sp. ctNU74,2012.0,76.0,76.0,1,1
31747,Siphoviridae sp. ctNqI2,2012.0,62.0,62.0,1,1
31748,Siphoviridae sp. ctOsn3,2012.0,21.0,21.0,1,1
31749,Siphoviridae sp. ctP6113,2012.0,71.0,71.0,1,1
31750,Siphoviridae sp. ctQ0C17,2012.0,26.0,26.0,1,1
31751,Siphoviridae sp. ctQU013,2012.0,76.0,76.0,1,1
31752,Siphoviridae sp. ctR0j7,2012.0,47.0,47.0,1,1
31753,Siphoviridae sp. ctR6G4,2012.0,44.0,44.0,1,1
31754,Siphoviridae sp. ctRCE13,2012.0,44.0,44.0,1,1
31755,Siphoviridae sp. ctRRO23,2012.0,74.0,74.0,1,1
31756,Siphoviridae sp. ctRg81,2012.0,46.0,46.0,1,1
31757,Siphoviridae sp. ctRlz6,2012.0,36.0,36.0,1,1
31758,Siphoviridae sp. ctS3r5,2012.0,27.0,27.0,1,1
31759,Siphoviridae sp. ctSqu13,2012.0,16.0,16.0,1,1
31760,Siphoviridae sp. ctTBd21,2012.0,44.0,44.0,1,1
31761,Siphoviridae sp. ctTwu10,2012.0,27.0,27.0,1,1
31762,Siphoviridae sp. ctVFN1,2012.0,7.0,7.0,1,1
31763,Siphoviridae sp. ctWBz6,2012.0,45.0,45.0,1,1
31764,Siphoviridae sp. ctWDo30,2012.0,78.0,78.0,1,1
31765,Pygoscelis adeliae polyomavirus 1,2012.0,10.0,10.0,2,2
31766,Siphoviridae sp. ctX926,2012.0,70.0,70.0,1,1
31767,Microtus arvalis polyomavirus 1,2012.0,5.0,5.0,1,1
31768,Pseudoalteromonas phage KB12-38,2012.0,83.0,83.0,1,1
31769,Microviridae,2012.0,5378.0,3036.0,849,432
31770,Mycobacterium phage MaryBeth,2012.0,180.0,180.0,2,2
31771,Salmonid novirhabdovirus,2012.0,524.0,72.0,445,67
31772,Mycobacterium phage MarQuardt,2012.0,180.0,180.0,2,2
31773,Salmonivirus,2012.0,6.0,3.0,6,3
31774,Mycobacterium phage Mainiac,2012.0,89.0,89.0,1,1
31775,Salmonpoxvirus,2012.0,422.0,420.0,4,2
31776,Salovirus,2012.0,6.0,2.0,3,1
31777,Avon-Heathcote Estuary associated circular virus 21,2012.0,4.0,4.0,2,2
31778,Mycobacterium phage Lucky2013,2012.0,237.0,237.0,1,1
31779,Mycobacterium phage Louie6,2012.0,89.0,89.0,1,1
31780,Avon-Heathcote Estuary associated circular virus 22,2012.0,6.0,6.0,3,3
31781,Mycobacterium phage McFly,2012.0,99.0,99.0,1,1
31782,Mycobacterium phage Llama,2012.0,222.0,222.0,2,2
31783,Samistivirus,2012.0,452.0,452.0,2,2
31784,Mycobacterium phage Leperchaun,2012.0,106.0,106.0,1,1
31785,Mycobacterium phage Lemur,2012.0,89.0,89.0,1,1
31786,Mycobacterium phage LemonSlice,2012.0,102.0,102.0,1,1
31787,Mycobacterium phage Lamina13,2012.0,192.0,192.0,2,2
31788,Avon-Heathcote Estuary associated circular virus 24,2012.0,4.0,4.0,2,2
31789,Mycobacterium phage Kratark,2012.0,88.0,88.0,1,1
31790,Mycobacterium phage Krakatau,2012.0,194.0,194.0,2,2
31791,Mycobacterium phage Kloppinator,2012.0,102.0,102.0,1,1
31792,Avon-Heathcote Estuary associated circular virus 25,2012.0,10.0,10.0,5,5
31793,Mycobacterium phage KittenMittens,2012.0,78.0,78.0,1,1
31794,Avon-Heathcote Estuary associated circular virus 23,2012.0,4.0,4.0,2,2
31795,Avon-Heathcote Estuary associated circular virus 20,2012.0,6.0,6.0,3,3
31796,Avon-Heathcote Estuary associated circular virus 2,2012.0,8.0,8.0,4,4
31797,Avon-Heathcote Estuary associated circular virus 19,2012.0,4.0,4.0,2,2
31798,Mycobacterium phage Nilo,2012.0,102.0,102.0,1,1
31799,Salmonid herpesvirus 5,2012.0,3.0,3.0,3,3
31800,Mycobacterium phage Nicholasp3,2012.0,130.0,130.0,1,1
31801,Mycobacterium phage Nebs,2012.0,90.0,90.0,1,1
31802,Mycobacterium phage Myxus,2012.0,99.0,99.0,1,1
31803,Mycobacterium phage Mulciber,2012.0,196.0,196.0,2,2
31804,Mycobacterium phage Mufasa,2012.0,188.0,188.0,2,2
31805,Mycobacterium phage Mryolo,2012.0,174.0,174.0,2,2
31806,Mycobacterium phage Mosby,2012.0,141.0,141.0,1,1
31807,Avocado sunblotch viroid,2012.0,0.0,0.0,7,4
31808,Mycobacterium phage Moose,2012.0,95.0,95.0,1,1
31809,Mycobacterium phage MisterCuddles,2012.0,103.0,103.0,1,1
31810,Avon-Heathcote Estuary associated circular virus 1,2012.0,6.0,6.0,3,3
31811,Avon-Heathcote Estuary associated circular virus 10,2012.0,10.0,10.0,5,5
31812,Avon-Heathcote Estuary associated circular virus 11,2012.0,12.0,12.0,6,6
31813,Avon-Heathcote Estuary associated circular virus 12,2012.0,4.0,4.0,2,2
31814,Mycobacterium phage Minerva,2012.0,476.0,476.0,2,2
31815,Mycobacterium phage Millski,2012.0,88.0,88.0,1,1
31816,Mycobacterium phage MilleniumForce,2012.0,208.0,208.0,2,2
31817,Avon-Heathcote Estuary associated circular virus 13,2012.0,8.0,8.0,4,4
31818,Avon-Heathcote Estuary associated circular virus 14,2012.0,10.0,10.0,5,5
31819,Mycobacterium phage MiaZeal,2012.0,500.0,500.0,2,2
31820,Avon-Heathcote Estuary associated circular virus 15,2012.0,10.0,10.0,5,5
31821,Avon-Heathcote Estuary associated circular virus 16,2012.0,8.0,8.0,4,4
31822,Avon-Heathcote Estuary associated circular virus 17,2012.0,10.0,10.0,5,5
31823,Avon-Heathcote Estuary associated circular virus 26,2012.0,4.0,4.0,2,2
31824,Mycobacterium phage NoSleep,2012.0,143.0,143.0,1,1
31825,Avon-Heathcote Estuary associated circular virus 27,2012.0,6.0,6.0,3,3
31826,Mycobacterium phage Kheth,2012.0,92.0,92.0,1,1
31827,Mycobacterium phage Gadost,2012.0,88.0,88.0,1,1
31828,Mycobacterium phage Gabriel,2012.0,233.0,233.0,1,1
31829,Mycobacterium phage Funston,2012.0,88.0,88.0,1,1
31830,Sanxia sawastrivirus,2012.0,6.0,6.0,6,6
31831,Mycobacterium phage Forsytheast,2012.0,96.0,96.0,1,1
31832,Mycobacterium phage ForGetIt,2012.0,87.0,87.0,1,1
31833,Mycobacterium phage Fibonacci,2012.0,99.0,99.0,1,1
31834,Mycobacterium phage EvilGenius,2012.0,186.0,186.0,2,2
31835,Mycobacterium phage Et2Brutus,2012.0,101.0,101.0,1,1
31836,Mycobacterium phage Estave1,2012.0,224.0,224.0,2,2
31837,Mycobacterium phage Eris,2012.0,88.0,88.0,1,1
31838,Mycobacterium phage GingkoMaracino,2012.0,89.0,89.0,1,1
31839,Mycobacterium phage EricMillard,2012.0,239.0,239.0,1,1
31840,Mycobacterium phage Empress,2012.0,208.0,208.0,2,2
31841,Mycobacterium phage Emiris,2012.0,104.0,104.0,1,1
31842,Mycobacterium phage Efra2,2012.0,103.0,103.0,1,1
31843,Mycobacterium phage Edtherson,2012.0,182.0,182.0,2,2
31844,Mycobacterium phage Echild,2012.0,200.0,200.0,2,2
31845,Mycobacterium phage Eapen,2012.0,89.0,89.0,1,1
31846,Mycobacterium phage EagleEye,2012.0,190.0,190.0,2,2
31847,Mycobacterium phage Duke13,2012.0,239.0,239.0,1,1
31848,Mycobacterium phage DrDrey,2012.0,288.0,288.0,2,2
31849,Mycobacterium phage DonSanchon,2012.0,97.0,97.0,1,1
31850,Mycobacterium phage DirtMcgirt,2012.0,104.0,104.0,1,1
31851,Primate erythroparvovirus 1,2012.0,2030.0,251.0,1070,143
31852,Mycobacterium phage Girr,2012.0,204.0,204.0,2,2
31853,Mycobacterium phage Gomashi,2012.0,62.0,62.0,1,1
31854,Mycobacterium phage HUHilltop,2012.0,81.0,81.0,1,1
31855,Avon-Heathcote Estuary associated circular virus 29,2012.0,8.0,8.0,4,4
31856,Mycobacterium phage Kazan,2012.0,101.0,101.0,1,1
31857,Mycobacterium phage Kampy,2012.0,176.0,176.0,2,2
31858,Avon-Heathcote Estuary associated circular virus 3,2012.0,8.0,8.0,4,4
31859,Mycobacterium phage KFPoly,2012.0,88.0,88.0,1,1
31860,Mycobacterium phage Juliette,2012.0,96.0,96.0,1,1
31861,Avon-Heathcote Estuary associated circular virus 4,2012.0,8.0,8.0,4,4
31862,Mycobacterium phage Jovo,2012.0,168.0,168.0,2,2
31863,Avon-Heathcote Estuary associated circular virus 5,2012.0,8.0,8.0,4,4
31864,Avon-Heathcote Estuary associated circular virus 6,2012.0,12.0,12.0,6,6
31865,Mycobacterium phage JewelBug,2012.0,182.0,182.0,2,2
31866,Mycobacterium phage Jerm2,2012.0,91.0,91.0,1,1
31867,Avon-Heathcote Estuary associated circular virus 7,2012.0,4.0,4.0,2,2
31868,Avon-Heathcote Estuary associated circular virus 8,2012.0,12.0,12.0,6,6
31869,Avon-Heathcote Estuary associated circular virus 9,2012.0,10.0,10.0,5,5
31870,Avon-Heathcote Estuary associated kieseladnavirus,2012.0,10.0,10.0,2,2
31871,Santee-Cooper ranavirus,2012.0,11.0,2.0,11,2
31872,Mycobacterium phage Jabbawokkie,2012.0,212.0,212.0,2,2
31873,Mycobacterium phage IronMan,2012.0,182.0,182.0,2,2
31874,Mycobacterium phage Inventum,2012.0,204.0,204.0,2,2
31875,Santeuil nodavirus,2012.0,41.0,11.0,27,7
31876,Mycobacterium phage Hope4ever,2012.0,88.0,88.0,1,1
31877,Mycobacterium phage Homura,2012.0,94.0,94.0,1,1
31878,Mycobacterium phage HanShotFirst,2012.0,182.0,182.0,2,2
31879,Mycobacterium phage HamSlice,2012.0,84.0,84.0,1,1
31880,Avon-Heathcote Estuary associated circular virus 28,2012.0,10.0,10.0,5,5
31881,Mycobacterium phage Oaker,2012.0,184.0,184.0,2,2
31882,Mycobacterium phage Odin,2012.0,94.0,94.0,1,1
31883,Mycobacterium phage OliverWalter,2012.0,101.0,101.0,1,1
31884,Mycobacterium virus Squirty,2012.0,204.0,204.0,2,2
31885,Mycobacterium virus Soto,2012.0,3002.0,705.0,30,7
31886,Mycobacterium virus Skinnyp,2012.0,134.0,134.0,2,2
31887,Mycobacterium virus Rosebush,2012.0,184.0,92.0,2,1
31888,Primate T-lymphotropic virus 1,2012.0,2056.0,1353.0,1606,439
31889,Mycobacterium virus Plot,2012.0,699.0,87.0,8,1
31890,Mycobacterium virus Peaches,2012.0,783.0,86.0,9,1
31891,Aesopia cornuta ranavirus,2012.0,2.0,2.0,2,2
31892,Primate T-lymphotropic virus 2,2012.0,111.0,11.0,187,28
31893,Mycobacterium virus Mosmoris,2012.0,222.0,222.0,2,2
31894,Mycobacterium virus Manad,2012.0,202.0,202.0,2,2
31895,Mycobacterium virus Suffolk,2012.0,1294.0,102.0,13,1
31896,Mycobacterium virus LHTSCC,2012.0,360.0,178.0,4,2
31897,Mycobacterium virus JAMaL,2012.0,196.0,196.0,2,2
31898,Mycobacterium virus Hawkeye,2012.0,208.0,208.0,2,2
31899,Mycobacterium virus Giles,2012.0,409.0,85.0,5,1
31900,Primate astrovirus,2012.0,0.0,0.0,69,4
31901,Mycobacterium virus Ff47,2012.0,146.0,146.0,2,2
31902,Mycobacterium virus Faith1,2012.0,655.0,133.0,5,1
31903,Mycobacterium virus Donovan,2012.0,156.0,156.0,2,2
31904,Mycobacterium virus Bxz1,2012.0,6252.0,690.0,27,3
31905,Mycobacterium virus Butters,2012.0,132.0,132.0,2,2
31906,Mycobacterium virus Bernardo,2012.0,200.0,200.0,2,2
31907,Mycobacterium virus Bernal13,2012.0,120.0,120.0,2,2
31908,Primate T-lymphotropic virus 3,2012.0,0.0,0.0,68,15
31909,Mycoplasma phage sp.,2012.0,159.0,50.0,4,1
31910,Myodes glareolus polyomavirus 1,2012.0,5.0,5.0,1,1
31911,African cassava mosaic virus,2012.0,1875.0,136.0,745,49
31912,Myoviridae sp. ctCjb12,2012.0,75.0,75.0,1,1
31913,Myoviridae sp. ctCL221,2012.0,64.0,64.0,1,1
31914,Myoviridae sp. ctB3C22,2012.0,18.0,18.0,1,1
31915,Myoviridae sp. ct9MV2,2012.0,52.0,52.0,1,1
31916,Myoviridae sp. ct9Fw19,2012.0,28.0,28.0,1,1
31917,Myoviridae sp. ct7eg16,2012.0,12.0,12.0,1,1
31918,Myoviridae sp. ct6Ob8,2012.0,10.0,10.0,1,1
31919,Myoviridae sp. ct5Xl4,2012.0,62.0,62.0,1,1
31920,Myoviridae sp. ct5Tq8,2012.0,63.0,63.0,1,1
31921,Myoviridae sp. ct4yW2,2012.0,36.0,36.0,1,1
31922,Myoviridae sp. ct3hC12,2012.0,20.0,20.0,1,1
31923,Myoviridae sp. ct2cn10,2012.0,23.0,23.0,1,1
31924,Myoviridae sp. ct0f722,2012.0,60.0,60.0,1,1
31925,Myoviridae sp.,2012.0,127031.0,72923.0,2460,1427
31926,Myoviridae environmental samples,2012.0,3080.0,101.0,2696,121
31927,Myoviridae,2012.0,258130.0,87489.0,6914,1746
31928,Prevotella phage Lak-B1,2012.0,0.0,0.0,1,1
31929,Prevotella phage Lak-B2,2012.0,0.0,0.0,1,1
31930,Prevotella phage Lak-B3,2012.0,0.0,0.0,1,1
31931,Prevotella phage Lak-B4,2012.0,0.0,0.0,1,1
31932,Prevotella phage Lak-B5,2012.0,0.0,0.0,1,1
31933,Prevotella phage Lak-B6,2012.0,0.0,0.0,1,1
31934,Prevotella phage Lak-B7,2012.0,0.0,0.0,1,1
31935,Prevotella phage Lak-B8,2012.0,0.0,0.0,1,1
31936,Prevotella phage Lak-B9,2012.0,0.0,0.0,1,1
31937,Mycobacterium virus Apizium,2012.0,200.0,200.0,2,2
